"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"0","0","1","2689.6106179105836","32","2785.9534821903244","853.6296407942292","882.0","6087.0","2751.0","1.0480757E7","96.680300835831","92.80323666055891","142.84554545824017","2675.2283950617284","5.0","0","33"
"1","1","2","3209.8915241954796","31","3111.6503570484","1271.3760332525958","1294.0","10538.0","2915.0","1.176515E7","99.03613542389434","90.91828190236858","142.8044242125454","2912.75","5.0","0","33"
"2","2","2","2576.360197600165","30","2564.054776395872","666.4128095497163","1161.0","5249.0","2451.0","9689563.0","96.47560158866901","86.67713369644034","137.96627271082332","2533.9559748427673","5.0","0","33"
"3","3","2","2100.3313675705267","29","2106.8030142781595","667.5982136236925","664.0","4425.0","2091.0","7967929.0","98.83143617673235","85.2634176277976","137.92515146512852","2129.080745341615","5.0","0","33"
"4","4","2","3735.5579911711434","28","3661.409186906019","1731.498390087987","1409.0","12812.0","3079.0","1.3869418E7","97.759100835831","85.2634176277976","137.4515454582402","3427.186335403727","5.0","0","33"
"5","5","2","4483.584170565594","27","4224.271123979995","1883.1145773736666","1088.0","14310.0","3630.0","1.6048006E7","96.345600082993","87.33501821157598","140.1881527333443","3848.848484848485","5.0","0","33"
"6","6","2","4431.124835343988","26","4611.666666666667","1015.294086475592","2786.0","8963.0","4479.0","1.74321E7","95.676198577317","88.81988249620863","138.04704226726597","4666.788819875776","5.0","0","33"
"7","7","2","3600.647841119081","25","3870.263102449302","937.0061962115549","2178.0","8274.0","3682.0","1.4695389E7","94.26269782447899","90.70483725439897","138.07171501468284","4055.58125","5.0","0","33"
