,label,area,major_axis_length,solidity,max_intensity,mean_intensity,min_intensity,minor_axis_length
0,1,8292.921,175.36779761034626,0.14721699969393556,8056.0,1534.8746658746659,194.0,21.715245137594483
0,2,2381.721,19.984637998516074,0.9218303145853194,4048.0,1671.8728024819027,405.0,14.231802501357075
0,3,3157.5660000000003,36.093173349758054,0.6768743400211193,3365.0,998.8369734789392,143.0,11.956014143072066
0,4,672.399,19.275204396203712,0.8863636363636364,8220.0,3986.197802197802,1344.0,5.4850719907521395
0,5,421.173,25.31077707779353,inf,6203.0,2802.5146198830407,679.0,0.0
0,6,7792.932000000001,34.274342967269426,0.7845276469129681,15252.0,2772.130847029077,309.0,17.549678242915952
0,7,30514.107,52.611623702985604,0.7343370280362752,47386.0,5202.287835983534,274.0,32.55933779714836
0,8,1802.9160000000002,24.211514473568204,0.9070631970260223,3080.0,1028.8907103825136,392.0,8.567384423541714
0,9,2667.429,22.294220728498203,0.9009983361064892,12478.0,2192.437673130194,248.0,14.13816425775516
0,10,1711.785,21.102196349677566,0.6638013371537728,12669.0,2872.9323741007192,656.0,15.089469985518788
0,11,3421.107,27.29701931378726,0.839782345828295,24791.0,4544.071274298056,494.0,13.96161821236085
0,12,6228.927000000001,49.95879111478689,0.41746450973918786,15628.0,3459.3685251087386,615.0,15.770369197019532
0,13,669.936,17.436990734349628,0.9006622516556292,2725.0,1020.0955882352941,415.0,8.59255323798171
0,14,785.697,19.227102852593273,0.9166666666666666,7358.0,3183.460815047022,639.0,5.447490339557803
0,15,35134.695,57.42682620254835,0.8168231791113146,16980.0,4138.5660007010165,535.0,33.04411292410762
0,16,320.19,23.33186734876802,inf,1814.0,985.4692307692308,468.0,1.6323404237781945e-07
0,17,827.568,30.84966029459477,0.7759815242494226,3651.0,1401.967261904762,446.0,5.00541244980322
0,18,22368.966,53.19763619068375,0.8340527137478189,11650.0,3839.558467297952,714.0,28.16510229366824
0,19,514.767,24.10124802014207,0.803846153846154,4156.0,1370.8325358851675,564.0,5.484639902052443
0,20,4009.764,26.939768917538046,0.9074693422519509,2786.0,1042.0902948402947,294.0,15.398960586496704
0,21,184.725,24.59685681201865,inf,2562.0,1306.7466666666667,753.0,0.0
0,22,352.209,21.53959563568932,inf,1017.0,767.020979020979,521.0,1.3328003749250113e-07
0,23,25368.9,51.850995819464394,0.8354964308890331,12688.0,3129.519417475728,494.0,27.206000445400942
0,24,1630.506,25.04953116292646,0.8756613756613757,6118.0,1528.0166163141994,427.0,10.505695095711543
0,25,1593.5610000000001,21.0166405240532,0.8097622027534418,17361.0,6053.316846986089,1528.0,10.226076649706819
0,26,7058.9580000000005,30.854614479985482,0.8840222085132634,8068.0,1809.0746685275647,345.0,19.971652387795327
