,label,area,major_axis_length,minor_axis_length,solidity,max_intensity,mean_intensity,min_intensity,surface_area_marchingcube
119,120,1921.14,29.798650361417735,5.2751816739951485,0.8724832214765101,2762.0,1113.9794871794873,439.0,1258.8475962397483
120,121,408.858,18.366209588039386,0.0,inf,2465.0,974.4759036144578,208.0,415.5514007621724
121,122,879.291,44.986805190114396,0.0,inf,59.0,45.563025210084035,26.0,871.0610914271061
122,123,1108.3500000000001,43.41045721473831,0.0,inf,70.0,48.44444444444444,29.0,1069.6345891017029
123,124,3226.53,42.91488908905176,4.786674277379702,0.8131595282433272,70.0,48.27251908396946,31.0,2143.6616405320365
124,125,849.735,18.504407288209496,5.30542558569889,0.9102902374670185,351.0,129.01159420289855,44.0,594.068366255663
0,1,57363.270000000004,214.84813009376168,40.57722011787649,0.09491671862837395,9319.0,2719.3200085873764,3.0,10843.84367456048
1,2,59011.017,74.60076788449729,34.06938553714443,0.8057778973565615,14717.0,2682.0339747067906,176.0,9703.834312393225
2,3,61900.116,107.70731248077247,32.73106448074805,0.6625016475550284,7816.0,2521.0621120483847,203.0,11795.548839978415
3,4,1238.8890000000001,24.682928200473206,5.479727079431479,0.9297597042513864,975.0,525.5009940357853,243.0,776.4113998011384
4,5,1586.172,28.263927974363828,8.757365630464808,0.7806060606060605,8570.0,4843.259316770186,1835.0,954.4765491853329
5,6,46075.341,67.36634836779498,34.45786749562306,0.709350826634309,12680.0,3572.1211311273855,538.0,9684.011420565506
6,7,729.048,17.366575495100353,5.441303972722954,0.930817610062893,377.0,273.97297297297297,183.0,503.86299321064587
7,8,5994.942,26.563850441417827,20.07684339133475,0.8886454910551296,9163.0,3442.629416598192,768.0,1913.7881187112491
8,9,692.1030000000001,26.09129379996405,2.6656007498500226e-07,inf,6910.0,3259.355871886121,1531.0,679.6622564326016
9,10,950.7180000000001,27.65798853239932,0.0,inf,1161.0,826.7875647668394,555.0,904.1670494898456
10,11,7443.186000000001,30.60009038151741,21.16289489881823,0.8967359050445105,3603.0,1251.8269358041032,403.0,2279.0719726471334
11,12,1923.603,20.450853508060487,11.455773153577924,0.9070847851335656,1182.0,489.05249679897565,210.0,892.3125700315636
12,13,43572.933000000005,74.14355464794633,33.3848798053146,0.7671060619200417,10195.0,2324.3457125091854,404.0,8424.33693812503
13,14,22612.803,52.80463194124654,28.769580269580626,0.8242212047760122,8729.0,3353.9761463892823,426.0,4947.019372235087
14,15,10903.701000000001,40.93292912709456,22.51712157023304,0.9207570715474209,5590.0,1563.755590693472,326.0,2811.3760723688397
15,16,10837.2,39.62103761017528,21.961060512770356,0.7573149741824441,5874.0,1579.2477272727272,391.0,3208.760355318208
16,17,945.792,33.212192426369946,0.0,inf,625.0,434.546875,282.0,900.4601582765576
17,18,815.253,23.653341977675364,0.0,inf,796.0,466.7824773413897,261.0,782.978784999251
18,19,3660.018,21.667003284679335,17.397163723316154,0.9293308317698562,518.0,298.6386271870794,135.0,1319.8377681453278
19,20,6999.8460000000005,34.0040037284297,16.70883242171168,0.9176622537939942,4185.0,1496.3515130190008,313.0,2131.9474473369028
20,21,52023.486000000004,72.05788867398576,32.503431869069104,0.7452018063787751,14907.0,2987.9123189091943,312.0,10102.032264002828
21,22,56134.233,71.59352691584147,37.8797153583692,0.8593891402714932,22787.0,3330.9369926725462,545.0,9020.56418919214
22,23,33703.692,46.719567605171655,34.06216855310647,0.8782491496052884,7105.0,2851.6981876644254,620.0,6168.06094909269
23,24,48087.612,57.070672558977876,35.6848147373014,0.8229987775576445,26650.0,7482.2945093218605,616.0,8178.132851922093
24,25,246.3,16.550507548534426,9.424321830774485e-08,inf,1326.0,947.71,613.0,268.2074367195712
25,26,2270.886,22.49992150049021,12.875135967511799,0.9303733602421795,8267.0,2665.3394793926245,736.0,989.4139749388773
26,27,34331.757,89.33418699135527,26.07492732723631,0.680283064909712,3993.0,1719.978836358419,510.0,7563.899685725101
27,28,2115.717,49.97969664369184,5.348294838346771,0.802803738317757,10414.0,4123.974388824215,1304.0,1398.3436102182
28,29,55944.582,80.26377766981045,35.651229912263034,0.6798359821615635,10649.0,3260.3910803909484,553.0,10852.721873945551
29,30,243.83700000000002,19.477495636970946,1.1542389828584841e-07,inf,4100.0,2556.2929292929293,1529.0,268.2852864955745
30,31,1064.016,22.531130492788538,8.666642171455974,0.8780487804878049,2511.0,1136.0625,566.0,661.5412584722567
31,32,6174.741,40.159166724232136,8.275002139404133,0.8195488721804511,2886.0,1001.5807738332669,429.0,2783.2133714814336
32,33,3201.9,42.29311016266442,14.998848413329922,0.585058505850585,8254.0,1929.9815384615385,487.0,1752.0701026874717
33,34,110869.482,134.19101919185724,40.172438996525834,0.682681953986381,22689.0,5067.539365530723,786.0,17034.28905879204
34,35,834.957,37.99892745697756,5.449220487852982,0.7722095671981776,2115.0,985.1445427728613,521.0,672.7679102848697
35,36,278.319,21.311268377478484,9.424321830774485e-08,inf,812.0,641.0442477876106,451.0,306.08831780216696
36,37,45604.908,58.272838340838774,36.04997009681125,0.8211086474501109,9443.0,2369.3182112767336,587.0,7984.110119027102
37,38,1849.713,20.242953862329223,13.677595461226588,0.80406852248394,2294.0,1388.9920106524635,725.0,921.1265693847344
38,39,1293.075,21.622099787254406,9.575796570274509,0.9292035398230089,4360.0,2699.7561904761906,1013.0,707.1043705910969
39,40,362.06100000000004,19.96948801518898,1.3328003749250113e-07,inf,3398.0,1634.0136054421769,887.0,386.66181547676376
40,41,1783.212,44.38884988084475,8.02483457990567,0.6914995224450812,4933.0,2233.4116022099447,533.0,1146.4782787902082
41,42,2499.945,42.77339476649714,5.187935473025653,0.7718631178707224,5949.0,1866.2502463054186,683.0,1623.7756233851687
42,43,2438.37,22.345736850915443,13.335212025923553,0.8815672306322351,10408.0,3371.5737373737375,785.0,1061.4150587518143
43,44,25928.001,44.461664733969535,30.724108993488432,0.879669089997493,26471.0,4770.926379785314,780.0,5143.180285398401
44,45,68525.586,63.49671858974942,40.99124016878299,0.9155587731999473,8354.0,2926.499712457767,747.0,9825.590542471078
45,46,189.651,15.92524154806794,0.0,inf,1109.0,782.4805194805194,583.0,215.0283173876271
46,47,2699.448,22.776969224216504,14.277852950707247,0.9005751848808545,3253.0,1480.3111313868612,680.0,1116.5086633137216
